,Postalcode,Borough,Neighborhood,Latitude,Longitude,VehVol,PedVol,NumberRestaurants,labels,labels2
0,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,12703.153846153846,2070.0,0.0,1,0
1,M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,12302.0625,3862.875,0.0,1,0
2,M4L,East Toronto,"The Beaches West, India Bazaar",43.6689985,-79.31557159999998,11970.444444444445,1488.7777777777778,0.0,1,0
3,M4M,East Toronto,Studio District,43.6595255,-79.340923,11335.0,1715.24,0.0,1,0
4,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,19865.333333333332,725.3333333333334,0.0,1,2
5,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,16972.333333333332,1190.1666666666667,1.0,1,2
6,M4R,Central Toronto,North Toronto West,43.7153834,-79.40567840000001,15558.714285714286,3459.0,0.0,1,2
7,M4S,Central Toronto,Davisville,43.7043244,-79.3887901,16690.0,5787.928571428572,0.0,1,2
8,M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001,16417.833333333332,729.1666666666666,0.0,1,2
9,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68641229999999,-79.4000493,17385.473684210527,3069.157894736842,0.0,1,2
10,M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001,13257.5,2741.3333333333335,0.0,1,0
11,M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.667967,-79.3676753,10886.29411764706,2697.823529411765,2.0,1,0
12,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,12406.0,9529.172413793103,1.0,1,3
13,M5A,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,10339.67857142857,2124.75,1.0,1,0
14,M5B,Downtown Toronto,"Ryerson, Garden District",43.6571618,-79.37893709999999,11362.473684210527,10737.78947368421,2.0,1,3
15,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,11973.0,9141.923076923076,6.0,2,3
16,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,11713.375,2207.875,0.0,1,0
17,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,17242.090909090908,17227.81818181818,0.0,1,1
18,M5H,Downtown Toronto,"Adelaide, King, Richmond",43.65057120000001,-79.3845675,11969.916666666666,11662.083333333334,3.0,2,3
19,M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.38175229999999,12547.466666666667,5352.0,1.0,1,0
20,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.6471768,-79.38157640000001,13028.0,24851.25,4.0,2,1
21,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001,13945.5,22863.125,6.0,2,1
22,M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999,17884.263157894737,986.578947368421,0.0,1,2
23,M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.6969476,-79.41130720000001,14271.875,1420.3125,0.0,1,0
24,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001,15573.444444444445,3411.0555555555557,0.0,1,2
25,M5S,Downtown Toronto,"Harbord, University of Toronto",43.6626956,-79.4000493,10809.45,7542.65,0.0,1,3
26,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493,11029.589743589744,6728.666666666667,15.0,0,3
27,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199,16982.214285714286,1295.7142857142858,0.0,1,2
28,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.37484599999999,10599.4,7754.2,1.0,1,3
29,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,11431.0,15769.4,2.0,1,3
30,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,11317.724137931034,2380.206896551724,2.0,1,0
31,M6H,West Toronto,"Dovercourt Village, Dufferin",43.66900510000001,-79.4422593,13041.92857142857,2471.3214285714284,1.0,1,0
32,M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,10151.0,2745.967741935484,4.0,2,0
33,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.6368472,-79.42819140000002,10931.307692307691,1839.3076923076924,0.0,1,0
34,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999,12047.111111111111,1367.7407407407406,0.0,1,0
35,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,16636.62962962963,1297.0740740740741,0.0,1,2
36,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,11637.57142857143,2491.5714285714284,0.0,1,0
37,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,11742.166666666666,1023.8333333333334,0.0,1,0
