,Postalcode,name,categories,address,crossStreet,distance,formattedAddress,lat,lng,state,id
0,M5B,Subway,Sandwich Place,10 Dundas St. E,at Yonge St.,188.0,"['10 Dundas St. E (at Yonge St.)', 'Toronto ON M5B 2G9', 'Canada']",43.656259989688905,-79.38091959903076,ON,4c6abb8c2c29d13ad2720e41
1,M5K,Epic,Wine Bar,100 Front Street West,,187.0,"['100 Front Street West', 'Toronto ON M5J 1E3', 'Canada']",43.64551466995504,-79.38123877444932,ON,4ad4c05df964a5203af620e3
2,M5K,McDonald's,Fast Food Restaurant,61 Front St. W.,in Union Station,182.0,"['61 Front St. W. (in Union Station)', 'Toronto ON M5J 1E6', 'Canada']",43.64614602536185,-79.37982197489902,ON,4b8d36f8f964a520c7ed32e3
3,M5L,Ninki Sushi,Japanese Restaurant,40 King St W,at Bay St,181.0,"['40 King St W (at Bay St)', 'Toronto ON M5H 1A1', 'Canada']",43.649812174244005,-79.37951837924346,ON,4beb2c0ba9900f475b7a1740
4,M5L,Over Easy,Breakfast Spot,56 Yonge St,at Melinda St,179.0,"['56 Yonge St (at Melinda St)', 'Toronto ON M5E 1G5', 'Canada']",43.64807704204346,-79.37759871575396,ON,4b06e099f964a52002f222e3
5,M6J,The Lakeview Restaurant,Diner,1132 Dundas St. W,at Ossington Ave.,175.0,"['1132 Dundas St. W (at Ossington Ave.)', 'Toronto ON M6J 1X2', 'Canada']",43.64943515996231,-79.42039021958406,ON,4b22e814f964a520175024e3
6,M6G,Gobo sushi,Japanese Restaurant,,,172.0,['Canada'],43.670783469721805,-79.42128720533807,,4d2d046a853ff04de86ec5da
7,M5B,The Senator Restaurant,Diner,249 Victoria Street,btwn Dundas St E and Shuter St,170.0,"['249 Victoria Street (btwn Dundas St E and Shuter St)', 'Toronto ON M5B 1T8', 'Canada']",43.65564091455335,-79.37919882575557,ON,4ad7929cf964a520500c21e3
8,M5L,Vineyard Jamaican Restaurant,Caribbean Restaurant,,,169.0,"['Bolton ON', 'Canada']",43.64955,-79.38078,ON,4ba2ab4af964a520650e38e3
9,M5T,Rol San Restaurant 龍笙棧,Dim Sum Restaurant,323 Spadina Ave.,at D'Arcy St.,167.0,"[""323 Spadina Ave. (at D'Arcy St.)"", 'Toronto ON M5T 2E9', 'Canada']",43.65431754076345,-79.39864998374682,ON,4ad4c060f964a5207ff720e3
10,M5T,Pho Hung,Vietnamese Restaurant,350 Spadina Ave.,at St Andrews St.,165.0,"['350 Spadina Ave. (at St Andrews St.)', 'Toronto ON M5T 2G4', 'Canada']",43.654434,-79.398883,ON,4ad4c060f964a52056f720e3
11,M4Y,Coach House Restaurant,Diner,574 Yonge St.,Wellesley,164.0,"['574 Yonge St. (Wellesley)', 'Toronto ON', 'Canada']",43.66499059853204,-79.38481415727767,ON,4b2d27b4f964a520a6cf24e3
