,Postalcode,Borough,Neighborhood,Latitude,Longitude,8 Peak Hr Veh Vol,8 Peak Hr Ped Vol
0,M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,11453.552631578947,725.0526315789474
1,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,9436.52,457.64
2,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,15733.714285714286,781.6666666666666
3,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,14060.785714285714,706.0357142857143
4,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,18679.6,584.0571428571428
5,M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999999,16726.090909090908,915.2727272727273
6,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.26202940000002,14189.129032258064,741.7096774193549
7,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,14976.09375,775.15625
8,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.23947609999999,17438.14285714286,639.0
9,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,12161.736842105263,407.7368421052632
10,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001,18873.29411764706,615.3823529411765
11,M1R,Scarborough,"Maryvale, Wexford",43.750071500000004,-79.2958491,20663.366666666665,758.6333333333333
12,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002,18368.06976744186,527.6976744186046
13,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,21932.774193548386,868.4193548387096
14,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772,17666.354166666668,706.8333333333334
15,M1W,Scarborough,"L'Amoreaux West, Steeles West",43.799525200000005,-79.3183887,16837.34693877551,686.0612244897959
16,M1X,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999,9354.583333333334,116.0
17,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,22577.565217391304,759.7826086956521
18,M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,19569.379310344826,1174.551724137931
19,M2K,North York,Bayview Village,43.7869473,-79.385975,21020.0,421.61538461538464
20,M2L,North York,"Silver Hills, York Mills",43.7574902,-79.37471409999999,24321.045454545456,591.2272727272727
21,M2M,North York,"Newtonbrook, Willowdale",43.789053,-79.40849279999999,19607.653846153848,1726.1153846153845
22,M2N,North York,Willowdale South,43.7701199,-79.40849279999999,15645.392857142857,3134.535714285714
23,M2P,North York,York Mills West,43.752758299999996,-79.4000493,25367.4,813.2
24,M2R,North York,Willowdale West,43.7827364,-79.4422593,20880.64,1144.44
25,M3A,North York,Parkwoods,43.7532586,-79.3296565,20457.58823529412,661.3529411764706
26,M3B,North York,Don Mills North,43.745905799999996,-79.352188,23524.933333333334,817.8
27,M3C,North York,"Flemingdon Park, Don Mills South",43.72589970000001,-79.340923,20616.684210526317,1019.3157894736842
28,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,17541.947368421053,749.8947368421053
29,M3J,North York,"Northwood Park, York University",43.7679803,-79.48726190000001,16750.32,847.52
30,M3K,North York,"CFB Toronto, Downsview East",43.737473200000004,-79.46476329999999,22742.61111111111,488.77777777777777
31,M3L,North York,Downsview West,43.7390146,-79.5069436,14965.846153846154,757.0
